observation_date,AKNGSP_20080605,ALNGSP,ALRGSP,ARNGSP,AZNGSP,CANGSP,CARGSP,CONGSP,CTNGSP,DCNGSP,FLNGSP,FLRGSP,GANGSP,HINGSP,IANGSP,IDNGSP,ILNGSP,INNGSP,KSNGSP,KYNGSP,LANGSP,MANGSP,MENGSP,MINGSP,MNNGSP,MONGSP,MSNGSP,MTRGSP,NCNGSP,NENGSP,NJNGSP,NMNGSP,NVNGSP,NYNGSP,NYRGSP,OHNGSP,OKNGSP,ORNGSP,PANGSP,SCNGSP,SDNGSP,SDRGSP,TNNGSP,TXNGSP,TXRGSP,UTNGSP,VANGSP,VTNGSP,WANGSP,WINGSP,WVNGSP,WYNGSP
1997-01-01,25028,104716.9,144457.3,59826.9,132290.9,1071327.2,1379722.1,136916.6,138548.4,52483.3,401688.9,560807.2,242681.6,37700.7,82731.1,29523.9,415771.9,170481.1,74669.9,104538.2,116426.3,237050.7,30623.5,299692.9,156282.5,163003.6,58383.4,29197.0,234009.7,49945.6,307689.0,52502.5,60221.3,718804.0,977600.5,343084.8,79044.3,100927.9,356720.2,97423.1,19036.2,25038.2,154366.8,610141.2,872557.4,57686.4,215126,15451.6,193770.2,153424.9,38808.2,14708.7
1998-01-01,23165,110181.3,149613.2,62397.8,143286.2,1147944.3,1470543.0,150364.4,145432.7,54780.2,429188.3,588868.1,265321.7,37621.7,84676.6,31099.0,436648.6,184395.0,78384.9,109396.4,120338.4,249235.5,32159.3,312667.6,166873.8,169505.2,60962.4,30477.6,246928.6,51917.2,319679.8,50674.9,65105.4,744716.1,996014.7,361511.6,81208.0,105142.7,373707.8,103467.0,20216.8,26511.1,167439.9,645289.5,927742.2,62288.5,231505.4,16080.3,209710.4,162616.5,40053.8,14883.8
1999-01-01,24322,115833.1,155171.9,66791.2,155282.6,1247734.4,1583231.3,164132.0,152353.9,58751.3,456797.9,614442.1,289446.6,39246.9,87796.0,34252.3,460242.3,192765.5,81669.8,114994.2,125894.7,265143.2,34379.1,337834.5,175155.9,177747.5,63818.9,30588.8,264836.2,53704.7,336470.9,53082.3,71444.7,792569.0,1046471.5,375814.4,84089.8,107564.3,390499.0,110095.7,21045.5,27510.9,176083.2,680181.9,963961.7,66038.5,249106.3,17161.8,230237.4,172328.7,41796.4,15715
2000-01-01,27034,120132.9,157697.7,68740.4,164609.9,1366166.5,1709490.6,180693.3,165822.4,61033.2,488466.1,641249.0,306019.9,41519.9,93189.8,38130.6,486766.2,203356.8,85820.7,114099.1,132709.5,289653.4,36840.9,351641.3,190894.1,186785.2,65600.1,31369.8,277994.1,56541.1,361845.3,55239.7,76654.2,836201.5,1084844.3,391320.8,90893.0,117291.2,408203.4,115176.6,22669.2,29399.2,182089.1,738804.4,998148.9,70383.8,267618,18312.7,238137.1,180616.3,42577.4,17191.8
2001-01-01,26609,123035.3,157137.9,70680.3,171480.5,1387551.8,1707064.7,187546.2,172834.5,65518.4,516558.8,658349.1,317271.2,42982.8,94973.4,37493.8,501155.5,204705.6,88594.7,117335.8,137847.7,297918.4,38499.2,348642.7,195282.3,190570.8,67136.5,31573.4,288184.8,59598.4,373600.0,55970.3,80380.2,873780.7,1107932.3,395710.0,96759.9,117295.4,424772.9,119290.0,23406.1,29631.8,185855,772909.2,1021693.4,73392,284396.6,19271.8,239763.4,187974,43982.8,18691.2
2002-01-01,29186,128117.4,161258.0,73986.5,179475.6,1439341.7,1747199.5,191062.2,176191.6,70072.6,548397.8,684994.9,326670.1,45449.9,99123.2,38820.0,513611.5,212438.6,91049.7,122215.8,139566.7,303990.3,40185.5,362311.0,202853.9,196764.8,69042.5,32514.1,297906.7,61622.3,388278.1,58033.8,84786.0,884104.3,1098776.8,411148.4,99151.0,121200.6,436474.1,124178.0,26164.5,32767.8,195331.6,787719.8,1042350.8,76159.1,293399.4,20161.5,248152.7,194844.9,45433.6,19149.7
2003-01-01,31219,133969.3,165250.5,78306.3,192764.8,1530559.8,1829296.5,196768.6,181230.3,74178.3,583447.2,714958.5,340627.0,48922.8,105020.4,40417.7,530142.9,223500.2,94630.2,127174.2,154449.3,315958.1,41842.2,372965.9,214847.2,205194.2,73587.2,33860.3,309351.3,66402.1,404967.3,62865.4,90367.5,902544.3,1101603.6,424426.6,105130.0,127153.5,454517.0,130313.7,27196.8,33381.1,203328.4,829722.9,1048182.1,79138,310132.7,21124,257830.2,203048.5,46747.5,21057.8
2004-01-01,35102,146886.7,175916.8,84557.0,205390.5,1632428.7,1902550.4,204374.6,198282.4,80557.4,636087.5,757581.2,364229.0,53761.1,116834.4,43865.9,561037.0,236921.3,98013.9,134190.8,169836.2,330936.7,44525.7,381443.4,230245.2,215413.2,77297.6,35323.0,327275.9,70320.2,422633.4,69696.5,103445.9,952281.8,1129017.5,445410.3,112872.2,136304.4,480811.1,135143.4,29030.5,34383.5,217939.2,907476.2,1104047.5,85783.4,332668.5,22657.8,269983,215016.8,49280.5,23220.1
2005-01-01,39298,156403.3,181871.0,89643.1,228232.6,1752648.9,1988736.5,220307.4,208660.9,85349.2,697260.1,806805.0,386999.9,58658.7,122256.2,47958.1,589149.4,243862.2,103966.3,142708.0,197783.5,346084.7,45869.8,394141.2,243069.9,225089.0,81224.5,37078.1,351337.3,74120.0,440493.8,73662.3,117056.1,1012180.8,1167640.1,465892.9,124370.4,143592.0,504870.6,142615.1,30535,35781.6,228126.3,986202.7,1132550.4,94303,360842.3,23500.9,295858.7,225590.7,53292.7,27219.2
2006-01-01,43117,164347.8,185337.0,94451.6,248154.2,1874851.3,2072274.1,231256.3,222914.3,88580.5,744660.6,834434.5,402501.1,62349.9,127052.6,50985.5,623471.2,255462.9,112634.0,151185.8,205888.0,361657.3,47929.5,395685.3,250156.6,232906.3,86064.5,38473.9,382799.0,78283.1,464317.7,77396.5,127008.3,1068634.7,1196694.8,477200.7,136949.6,155166.1,525666.1,150661.4,31824.1,36393.5,240111.1,1084171.8,1209018.2,106028.3,378981.2,24304.7,317313.8,235848,56578,32455.9
2007-01-01,44517,170263.9,186499.4,96991.9,262245.3,1955320.9,2103014.8,246151.0,237397.6,94036.8,768568.1,835637.2,414779.6,65223.8,137179.9,53864.9,648243.6,269071.3,122349.1,154542.4,206602.3,380288.4,49163.3,403717.4,259296.2,240391.9,91219.5,40401.9,396632.2,83299.6,480445.0,80543.4,131492.6,1109748.6,1203502.8,490823.7,144799.5,161431.6,559142.6,159101.4,34816,38204.1,244194.2,1178221.1,1273882.1,114657.1,392929,24689.3,346491.1,243841.3,58628.8,36613.5
2008-01-01,,172677.2,185280.6,99014.4,259262.6,1990187.9,2110596.1,255830.2,240576.2,99532.3,750972.8,803607.1,411851.7,66857.7,137116.2,55584.4,648732.0,273140.1,127824.5,158209.2,215289.0,388099.9,49978.5,385990.3,264866.4,251691.6,96921.1,40112.7,413064.9,85661.3,494855.4,83691.3,129095.5,1101636.8,1177915.1,491609.1,159761.3,165050.8,581527.3,161797.9,36475.6,39454.1,251549.8,1236361.8,1274662.1,115885,400305.5,25667.8,355596.6,244634.3,61994.1,42550.2
2009-01-01,,169128.5,178893.4,96983.7,243764.6,1919271.1,2025633.2,248669.1,236921.6,100916.9,725658.1,759432.2,406066.3,65711.3,136819.9,53763.9,645146.7,261500.2,124779.5,156038.5,207119.8,391272.9,50567.9,365552.7,260513.1,251402.6,93502.9,39388.1,406832.9,87107.4,486209.5,81990.3,120987.7,1150993.9,1221256.0,478023.5,145858.2,160574.9,576963.5,159911.4,36341.5,39891.4,250379.4,1162971.8,1270964.6,113517.8,409441.9,25870.7,353705.5,245518.6,63032.5,36085.6
2010-01-01,,175470.1,183014.5,100970.8,248125.3,1973511.9,2056990.4,255660.7,238051.6,106097.8,738242.3,766653.9,414664.0,68260.2,142016.7,55215.3,661714.8,280497.0,127970.4,164820.3,226161.8,410187.5,51724.3,386629.8,272636.0,257897.4,95265.4,40595.1,415710.0,91785.5,494977.8,84037.9,123652.3,1212485.1,1267972.0,496457.7,153215.1,163827.0,599025.1,163844.0,37709.2,40367.3,255696.1,1237304,1301808.3,118098.3,423563.9,27113.3,365799.7,254615.2,65304.7,37442.6
2011-01-01,,181929.9,185666.9,105107.8,257881.1,2049336.8,2090836.8,264310.2,236816.3,109998.8,746535.3,763484.1,427826.9,70630.1,148102.2,56516.4,687951.0,288942.9,135528.5,170004.7,229215.1,426013.2,51867.1,401069.1,285408.1,259645.0,96408.1,41511.3,426569.3,99954.2,498959.3,86683.3,126675.6,1237277.6,1270516.7,523355.0,165091.4,170620.6,618555.4,170077.9,41690.2,42947.2,267487.6,1331138.4,1343700.8,124689.9,433009.6,28134.6,379796.4,264166.4,68446.8,39415.2
2012-01-01,,186553.9,186553.9,107718.8,268068.2,2144089.6,2144089.6,273593.9,244114.4,112610.0,768722.9,768722.9,443566.1,73676.7,157838.6,57780.1,720881.5,297816.1,140764.1,176323.1,233481.2,444478.2,52866.6,418742.3,296272.5,268861.9,99616.3,42041.6,439539.7,102605.3,519569.0,87644.8,127789.1,1323400.8,1323400.8,540882.4,173238.8,174427.6,640663.1,175328.5,43550.7,43550.7,283482,1410447.8,1410447.8,128764.2,445120.7,28893.6,400623.3,274540.5,69335.6,38437.7
2013-01-01,,192166.5,188814.2,112764.6,275007.5,2261510.6,2219610.5,288383.5,244127.5,115021.1,800886.0,784238.4,459578.7,75807.8,161583.0,61155.2,734808.5,308725.4,143065.8,182470.7,228688.3,455653.3,53670.7,433755.8,308784.5,277394.2,101474.2,42429.7,455266.8,106516.8,537346.4,88533.0,130686.6,1361962.9,1325490.0,560936.8,181858.2,179389.5,663334.5,182837.0,44956.5,43737.7,293265.3,1500554.3,1470464.6,134529.5,455166.9,28966,419671.3,281832.6,70998.6,38943
2014-01-01,,195037.7,187568.0,116151.8,284851.4,2399077.7,2316331.2,305690.9,248778.9,119722.8,840386.4,806029.4,485282.5,77819.3,172121.9,63799.4,766120.8,325008.3,148942.7,186419.0,237717.1,473052.0,55826.7,448572.1,322690.2,284237.2,103519.8,43285.1,476260.2,111386.8,545465.3,92586.3,134518.4,1425724.1,1347559.8,592876.2,193546.4,188777.5,691173.2,191981.5,46369.9,44449.7,303788.8,1568070.8,1518613.7,141528,464514.4,29690.7,442930,293836.7,71769.1,39431.7
2015-01-01,,200197.5,189428.8,117734.3,298615.0,2559643.2,2437366.9,317992.4,262372.7,124853.7,897754.7,842269.4,515753.0,82644.0,179459.2,66082.0,795326.1,329527.7,154015.6,192819.3,231751.8,503178.5,57559.8,473149.5,333065.8,293938.3,105427.9,45042.5,502808.4,115663.9,569116.5,91322.0,143554.0,1485620.8,1372232.4,609321.7,184140.4,202718.6,711787.2,204000.4,47630.5,45371.8,323658.5,1564374.3,1595969.5,148917.8,484530.8,30663.7,471702.8,306498.9,70815.9,37860.7
2016-01-01,,204454.7,191523.4,119191.8,313056.5,2671100.5,2519133.6,327757.3,266747.3,129477.1,941561.2,870963.2,541292.2,85899.9,179939.8,69075.5,803943.7,337217.2,159232.8,195840.2,223409.5,519143.5,59754.2,488962.6,341696.3,297752.6,106492.9,44580.7,520356.6,116879.2,581504.4,91240.2,150287.3,1545987.7,1397723.7,621542.6,177813.0,214617.5,726884.5,213584.6,48731.3,45733.6,334435.7,1567687.1,1606579.8,157442.7,496570.2,31430.4,493634.5,313440.2,70006.2,35704
2017-01-01,,210895.7,193693.0,122978.5,330146.6,2831038.4,2628314.6,348175.5,272569.9,132853.6,990096.6,901903.5,568398.9,89618.6,182151.3,73286.5,823776.2,350436.3,163968.3,200345.5,235712.2,539973.4,61671.5,501914.9,353416.4,305471.4,109431.1,45480.6,541040.7,120949.7,590696.6,94456.7,158502.8,1608890.2,1424905.5,642351.4,185485.6,227042.2,745140.8,223414.0,50342.9,46023.9,346283,1665428,1651329.5,167613.4,511876.3,32040.7,527707.5,320610,72853.1,37271.2
2018-01-01,,221030.7,198053.7,127761.3,350718.3,2975083.0,2708966.9,372452.9,279782.3,138773.5,1050298.4,936580.3,602023.9,93100.5,190147.0,79090.8,863039.5,368424.5,171718.8,207849.4,253236.1,570464.2,64557.0,521803.4,371929.7,317949.1,113578.5,46627.5,567451.7,124705.4,612979.3,100079.9,169179.6,1705010.2,1467076.8,675029.7,198595.8,241978.1,778374.6,235286.9,53239,47287,362737.1,1795635.1,1715231,181622.7,533510.4,32981,575416.7,337553.1,77632.5,39703.2
2019-01-01,,228142.6,200829.4,130954.1,370119.1,3132800.6,2800505.4,392986.0,287822.2,143389.3,1106500.1,963255.9,625713.6,95744.3,194658.1,83665.5,885583.0,379684.1,176493.1,215398.9,256918.5,596593.1,67717.1,536888.3,383777.0,328400.6,115971.3,47916.3,591600.9,130011.8,634783.6,105143.4,178199.4,1772260.7,1490678.5,695361.6,202036.1,253623.2,808737.5,247543.8,54940.9,47559.7,376582.4,1843802.7,1764357.2,192519.2,556905.2,34013.4,612996.5,349416.5,78863.9,40420.1
2020-01-01,,224870.6,195474.7,129073.9,372461.0,3091871.5,2722838.6,390098.7,280900.3,143532.7,1095888.2,935674.3,619240.0,89856.2,192710.2,84032.2,863516.7,372636.7,173298.3,210024.2,241990.8,584039.0,66196.0,515928.3,374351.8,321708.8,114200.6,46486.3,586136.2,128808.7,619061.1,100310.1,172597.6,1699044.7,1402411.5,675037.3,186581.4,250458.5,780176.1,241688.7,54852.1,46761.6,364485.9,1759734.4,1703074.3,194985.8,551760.3,32796.7,618704.9,338678.4,73709.2,36241.5
